id,username,created_at,lng,lat,text
1.51651E+18,flo_koenigsmark,Tue Apr 19 20:23:10 +0000 2022,-74.259732,40.009827,@yogachampagne Here we go....the Newman's will owe Ashland big time for saving Victoria's life. This will drag on f… https://t.co/ewWJNy4AHp
1.51651E+18,briiaannddaa7,Tue Apr 19 20:23:10 +0000 2022,-119.3195265,36.319486,Lol exactly how I feel about white toes.. https://t.co/4qfkptKnow
1.51651E+18,HalasPete,Tue Apr 19 20:23:10 +0000 2022,-117.0226945,38.502147,@BlackLabelAdvsr My wife watches Netflix. I pay for it.
1.51651E+18,kurtisM5,Tue Apr 19 20:23:10 +0000 2022,-83.72561,42.9944585,@TayvionGalloway let’s gooooo #GoBlue
1.51651E+18,RHarmsRDH,Tue Apr 19 20:23:11 +0000 2022,-89.922029,35.1335205,"@TMobile @Tesla #TMobileTeslaTuesdays #contest OH Yeah, Y ME!!!"
1.51651E+18,CorvusCorax77,Tue Apr 19 20:23:11 +0000 2022,-122.7676415,45.4970715,@TheFlemishSeth @streamz_be You’re insane lolz. Enjoy!
1.51651E+18,joeweidner1,Tue Apr 19 20:23:11 +0000 2022,-82.596627,39.736975,@CincyShirts reds hall of fame
1.51651E+18,Theaologies,Tue Apr 19 20:23:11 +0000 2022,-118.4119065,34.0207895,My schedule was changed without my notification for a day I’m not available as I’ve made other obligations. Texted… https://t.co/9RRxb5Eefl
1.51651E+18,elcharlie_27,Tue Apr 19 20:23:11 +0000 2022,-82.4558,27.9473,Bruh I need a good insurance agent lost my thong in the accident I was embarrassed I’m good tho #viral #fyp… https://t.co/lkicJyM9nY
1.51651E+18,natureslullaby,Tue Apr 19 20:23:11 +0000 2022,-81.267942,32.099476,Missed connections mid air
1.51651E+18,_MoneyMolina,Tue Apr 19 20:23:11 +0000 2022,-73.8311875,40.6708795,"Umps checking Megil hand for sticky stuff , bro he gave up four runs check SF hands ! #Mets"
1.51651E+18,WesselAngel,Tue Apr 19 20:23:12 +0000 2022,-122.6557945,47.4939445,I rarely retweet but this needs to be shared.
1.51651E+18,TTULongRun,Tue Apr 19 20:23:12 +0000 2022,-81.705467,41.4959395,Common Sense Not Common And That Shìt Is Fucking Crazy
1.51651E+18,maxigeek_,Tue Apr 19 20:23:12 +0000 2022,-74.0007613,40.7207559,"Fight the way you want, with all-new customisation options for #SniperElite5 Details:  https://t.co/fdI0Nut7YG"
1.51651E+18,2tall4u2,Tue Apr 19 20:23:12 +0000 2022,-118.4119065,34.0207895,Horrific road rage attack caught on video as man repeatedly runs over fleeing woman https://t.co/s5Sx6rCtf9
1.51651E+18,RippersSports,Tue Apr 19 20:23:12 +0000 2022,-78.878866,33.7033905,#CNFTCommunity #CardanoCommunity Red hot #art plus a #hat #hatgang @PandaSocietyNFT @bajuzki @havocworlds… https://t.co/tU2ssMcSMm
1.51651E+18,Just_Acy,Tue Apr 19 20:23:12 +0000 2022,-87.732013,41.8335845,👀! Teven Jenkins where he is suppose to play.
1.51651E+18,Ttpmonsterr,Tue Apr 19 20:23:12 +0000 2022,-95.4464865,29.838495,Damn my gains is crazy 😛
1.51651E+18,lodosportsgirl,Tue Apr 19 20:23:12 +0000 2022,-105.1281885,39.8202065,I know a Rockies move when I see it
1.51651E+18,Stan_ter_woerds,Tue Apr 19 20:23:12 +0000 2022,-81.8356125,44.420494,The Siloking magnet inside the TMR mixer really makes you wonder how all this metal gets into the feed bunks in the… https://t.co/CHLMcxhkaJ
1.51651E+18,EvilCloneEthan,Tue Apr 19 20:23:13 +0000 2022,-77.0143985,38.898603,"@nevertweety Fair, but it would have been better if they just weren’t awful in the first place."
1.51651E+18,JordanDominion,Tue Apr 19 20:23:13 +0000 2022,-79.2725695,43.629311,Periods at the end of a paragraph are unnecessary. Question marks are always mandatory
1.51651E+18,FLU_2Cold,Tue Apr 19 20:23:13 +0000 2022,-82.985772,39.9946835,@Sheltyb803 @MiaYim @RealKeithLee Yoooooooooooooo Im dead AF
1.51651E+18,RealKevinLight,Tue Apr 19 20:23:13 +0000 2022,-75.770041,42.746617,@KMurphy25 @mrsmmacasual Does this have more meaning to it than I think or is my mind just in the gutter
1.51651E+18,enidgrisel,Tue Apr 19 20:23:13 +0000 2022,-83.804475,27.698682,I could go enjoy the pool on this nice day but instead I’m inside sick 🤧
1.51651E+18,thaWrd,Tue Apr 19 20:23:13 +0000 2022,-96.7617535,32.8198585,As a MAN i can say I faked One 😭😭😭.. like lil shawty GET OUTTTT. 🤣🤣🤣🤣
1.51651E+18,quis__custodiet,Tue Apr 19 20:23:13 +0000 2022,-118.26593,34.0363,2023ZN230LA LAPD AIR SUPPORT DIVISIONN34.0363 W118.2659Altitude: 1025ftCourse: 112ºGroundspeed: 96kts https://t.co/jmoqZO6maw
1.51651E+18,jaycee4u,Tue Apr 19 20:23:13 +0000 2022,-80.2333285,25.7823535,@PhilayeFilms He look like he thought about it 😮
1.51651E+18,RonaldR16528860,Tue Apr 19 20:23:13 +0000 2022,-111.931711,34.1682535,@joncoopertweets 40 years and retiring next year on May 1. Painter.
1.51651E+18,Crazy4Rossdale,Tue Apr 19 20:23:14 +0000 2022,-75.87578,41.2442045,@summerchic45 @GavinRossdale @FMKirbyCenter Definitely really cool 😍
1.51651E+18,pghpropertyremo,Tue Apr 19 20:23:13 +0000 2022,-79.9806895,40.431389,Are you looking for kitchen remodeling services?Then today call us for your free quote!#remodeling… https://t.co/gWbuU1XL4Q
1.51651E+18,GumboGoon,Tue Apr 19 20:23:14 +0000 2022,-95.1271425,29.52619,I know she tired of him lying on her
1.51651E+18,MOBY_N1CK,Tue Apr 19 20:23:14 +0000 2022,-77.0143985,38.898603,My two personalities finally collided
1.51651E+18,BarberSense_,Tue Apr 19 20:23:14 +0000 2022,-83.1738665,32.6782075,Bro I really cannot wait for this all to be over.
1.51651E+18,samtosane,Tue Apr 19 20:23:14 +0000 2022,-75.4660545,40.2575945,@billisajoke Could have surrendered.
1.51651E+18,TYGAgolf,Tue Apr 19 20:23:14 +0000 2022,-79.404847,35.18462,Congratulations to our top-notch TYGA’s who are excelling in the collegiate game !! Here are some of the notable fi… https://t.co/b0EAlTBrnV
1.51651E+18,Alpine_Joy,Tue Apr 19 20:23:14 +0000 2022,-77.483288,38.298065,"@secupp @CultExpert @PeteDominick 📮I’m a fan of yours, S.E.I was born in 1960.One thing a high school teacher t… https://t.co/mlktuqJUjS"
1.51651E+18,technotechkid,Tue Apr 19 20:23:14 +0000 2022,-74.1030275,40.81686,@DeGodsNFT will bridge eth users to Solana. It’s already begun
1.51651E+18,JBlock49,Tue Apr 19 20:23:15 +0000 2022,-122.630908,45.536402,hendo accidentally stepping on maguire might be the best bit of defending i’ve seen all day from united
1.51651E+18,BDrew18,Tue Apr 19 20:23:15 +0000 2022,-96.398422,30.15959,@RealRonTheShow I hear he likes to play footsies with those who have foot fungus now… #CSATS #FungusAmongUs https://t.co/y3nrGtCgUW
1.51651E+18,JazzbIues,Tue Apr 19 20:23:16 +0000 2022,-118.40899,34.0060125,The racket is the large part
1.51651E+18,dubbadmusic,Tue Apr 19 20:23:16 +0000 2022,-83.804475,27.698682,@ktrlyourmind Let’s go I’m stoked for you!
1.51651E+18,tdgator9,Tue Apr 19 20:23:16 +0000 2022,-82.3302695,29.6731715,Groovy unblocked me again https://t.co/14c8G8VGd9
1.51651E+18,sookieCarter,Tue Apr 19 20:23:16 +0000 2022,-83.1738665,32.6782075,fraud niggas y’all niggas that’s that shit i don’t like.
1.51651E+18,JLionetti,Tue Apr 19 20:23:16 +0000 2022,-74.435631,40.922884,@News12NJ Who conducts these ridiculous surveys? Maybe everyone should stop worrying about the smelliest state and… https://t.co/mzBaqwhFUS
1.51651E+18,SerafinoProduce,Tue Apr 19 20:23:16 +0000 2022,-74.0245075,40.7905115,"Oh my goodness. $NFLX is as overweight as they come, very tough quarter 📉"
1.51651E+18,AWaynesWorld,Tue Apr 19 20:23:17 +0000 2022,-90.3735215,40.943125,That's gotta hurt
1.51651E+18,MacksPower,Tue Apr 19 20:23:17 +0000 2022,-81.633705,38.347486,#Heardle #53🔊🟩⬜️⬜️⬜️⬜️⬜️https://t.co/xiuWUO78mvOne of my favorite albums ever.
1.51651E+18,DucCNguyen,Tue Apr 19 20:23:16 +0000 2022,-73.568046,45.505178,"In 2005, a portion of the commercial buildings was demolished, once again revealing the facade of the church as wel… https://t.co/hqnVP90lyl"
1.51651E+18,Jeremy_Danner,Tue Apr 19 20:23:17 +0000 2022,-94.581487,39.108731,"This is important. Brown &amp; Loe has @4HandsBrewingCo Incarnation, our Mosaic driven IPA, on tap alllll the time and… https://t.co/tk5oPb2TdL"
1.51651E+18,DonGhotti,Tue Apr 19 20:23:17 +0000 2022,-80.233244,26.6249075,Were you a member of the Boys and Girls Club?
1.51651E+18,ReauxByDesign,Tue Apr 19 20:23:17 +0000 2022,-96.7617535,32.8198585,@ayyee_slim I can! *snap*
1.51651E+18,SmashItUp6,Tue Apr 19 20:23:17 +0000 2022,-119.3066075,37.2691755,"@Jmo210 Well it’s more complicated, but thanks for ur kind words."
1.51651E+18,Wuzhoodie,Tue Apr 19 20:23:17 +0000 2022,-80.271087,25.6994485,Great joke bro I’m never talking about my interests again
1.51651E+18,branteflores,Tue Apr 19 20:23:17 +0000 2022,-118.4119065,34.0207895,first things first SONORATOWN MAMI
1.51651E+18,Firegerbil571,Tue Apr 19 20:23:17 +0000 2022,-117.9056455,33.6636085,@ManhattanDA @Jonjon111199 100% BULLSHIT to appease the masses while they try and come up with a plausible excuse f… https://t.co/yyzmG4txVp
1.51651E+18,CoasterinCali,Tue Apr 19 20:23:18 +0000 2022,-122.0770345,37.9538165,"@coastercuzzies We’ll see if it works, still feeling a bit weird, but now with more content."
1.51651E+18,AdLib716,Tue Apr 19 20:23:17 +0000 2022,-78.8270655,42.787388,"@NorthernDutch The latest incarnation of Lil’ Dirty.  What do you think, @_IsaiahMcKenzie? https://t.co/fqIG2DHSLV"
1.51651E+18,antifakate,Tue Apr 19 20:23:18 +0000 2022,-84.601277,38.996431,@VoteRandyFine @GovDeSantis I'd love to see what happens to Florida's economy if Disney says f you and shuts it all… https://t.co/CBRlzRX5jo
1.51651E+18,a_galinddo,Tue Apr 19 20:23:18 +0000 2022,-96.2916485,30.5854715,LETS FUCKING GOOOO LUKA COMING BACK
1.51651E+18,iDreamOfAlice,Tue Apr 19 20:23:18 +0000 2022,-111.917026,40.765805,"@DCantave Thank you😊, appreciate it!"
